Country,State,City,Coordinates,Descriptions,Havens count,Place type,image
Argentina,,,,"Along with Buenos Aires, Argentina’s landscape thrills the senses. Feel the spray from Iguazu Falls, gawk at the crystal blue Perito Moreno Glacier & savor Mendoza’s malbec, all within these borders….",,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL0Q4TmtYa2xsbmZraHg4QkY1TTNRaWcvWll5ZFlxaXVVZmFHamQxTHBLR0UySmJHaU4tY0dwNEI5QmJUQUZEYlN3bERtUGxUTV94ZDZISTU5bnM2NkFOTnpqWWRlbFNDSDF2d0cyZ0tjUlk4aTJ6WkF2UmtLQXNxbHRuVUFmYjMtWVkvZkVGVjB3SlVTQjlTZ3d6Q3BLNHl3cUZJdTRhSno1QndKYlBzWkRBMDhlcw=="
Belize,,,,"Belize boasts the world’s second-largest barrier reef, Mayan ruins, and subtropical rainforests, making it a hotspot for ecotourism-minded travelers. Change into scuba gear and explore the Great Blue Hole…",50+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL1J4RnJxbmlGSnh3LVV5T0d6bTZ4VlEvb05nbi1xUFZ6UVAta1h4NHAyekxUNlNJTnpOYk5VVGhia2N1QUJCeGxiQlZCVXg2Z1lGRUdSdG9ZNktlTHFZMXp4OWhPM09EVG84bjBYQjB4TDExZHZTNGJlOW9TamxTNW91UEFrZUhkV00vTWdNcGJZbDFEU1dEVDVHSEdZWWZMek0zbktkdTNJc3g4OG1INnR3OVdIYw=="
Brazil,,,,"From rowdy soccer at Maracanã Stadium to outrageous Carnival, Brazil lives life out loud. Find your haven & discover Rio’s outstretched arms, famous Copacabana beach, or the Amazon’s mysterious rainforest...",150+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL3pyU3oyZHY3ZjNpdjJ4Qzhxa0FCMmcvSDZNNEprTWUtVnVsRDhNSjlsNmx0YlBkSFJlSHNiQmhiRmhJbXAzNDhxOXJUUXhZNnFoV29vOHh6eTZ6ZmJpYlktMFFjQ0hhUW1sMmI0R2prN3J0T2UxV3VqXzhVWjBRUUNpMVJsQWFCdkUvbHNDU1dLQi1vUUx4c21XZzVfZ3ROSEhMUG9NWHBtSU1NTnhtR29XcllhSQ=="
Chile,,,,"From the desertscapes of Valle de la Luna to Patagonia’s frozen tundra, Chile is a country of extremes. Swill vintages in rolling vineyards, gaze at icy blue glaciers, or venture to monumental Easter Island…",10+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL2xMaFFldlV6aUc2SUFSODV4X0JKZkEvSHVTUmNoeG9xZ2QxMGpyaHNDSU5la2hNNlRGYUlFM05aLWppWk9JMDdhamFMZ1YzQ3Q3cUI2Z01mbnBGMUdjbngzYTRiMkkyeEhDc25xYWtnVGNMX3NSNHdPRDJOTmVmYXBwbG82V2JKUXMvNmVyeTI1ZXVnRHRyRE5xVGMtOF92V1U0YTlwU25ySUVMUFhGOTZldzN3MA=="
Costa Rica,,,,"Adventurers & nature lovers gush over Costa Rica’s tropical landscape. Guanacaste’s lush rainforests give way to aquamarine coves dotted with surfers, and Puerto Viejo wows with its black-sand beach…",500+ Havens,8 Top Destinations,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL0RtNGRnMnlDbWlvamI5MkdYUGlyT0EvYkQyTzc2bV9OTVJIdU5ONkFtUTRJMUZVTm1Wc2VXMVZjZmRDbmdRdERHSllDdzdzeTZudUVjMWdhVnVaTlhsakZsdC1KcHp5UmdRY052STE2UzBsS3RqeDVWc3Y5dXFTMFkwMnd3d3g2ZlEvaDJYOTRSUVpjbU1WSjRjNzJ6eWpuWEVFRExpR2t5Z2FxZ3hTWXVaeFB3WQ=="
Costa Rica,,Alajuela Province,"10.0198° N, 84.2140° W","Discover Costa Rica's picturesque countryside, visit stunning waterfalls, and experience the natural beauty of lush landscapes…",10+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL3dTdXEzWkp1UUtoMnRTQmRVSXRueWcvVGNuR3l6cV9FREpCZG5jc1dHdk96dVdjVFBRYkVfYllLbGJ3SmgxMkRPSThpQzltaG5fTlRqLUNvb2tzRDl2UlpCaUpNV0tMVHA1enJxQ3lGQVByanNMOHFyc3BkOXBqS19UcEk0SWtKaXA1dVlHeURSQ3NuMnN3OFNybThDMEYvUkd5bEJDWnRVVko1Y29ZQnVmaHl4WGRtRDF0UDVma2lFQVczcGxTbm5pOA=="
Costa Rica,,Caribbean Coast,"9.9487° N, 83.6710° W","Unwind on pristine beaches, explore diverse ecosystems, and immerse in the rich Afro-Caribbean culture…",,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL2VMdVpLczdWb0VtSTJBY1NtRXJnNncvcGRoQ2wzUTJQS1FzQUZUU3BlMDlXN1RON1ZHcklrMmhMX1ZGWDdTN2ZxeTV3WXd2eXBPcm5wZnpXTWVSUHRDa3o5YjFtR3NnU3g3MHlPQVBsU3JPUXdNdFdvOFlMQlBLcjhQcEUzb2RGZ3hjVVE5NG9iXzI4WE91R084NTMzNlYvb21XTUV5dFJqXzNaMzJfYzJqMS1DUXhlQk1IZ1hoYTlWLVM3eDNUelRvTQ=="
Costa Rica,,Central Valley,"9.9347° N, 84.0875° W","Experience the heart of Costa Rica, visit charming coffee towns, and admire the stunning beauty of lush green landscapes…",10+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL3kwWTg1LXgzQVI2bkFiTDVHT2hQdUEvYXBwVDU1bVZweHhfYmVGOW5IUlc5aEE3bWdLeG90S1Z2eElpNVptaHMtdzNrdGpkN3hMbXJCS1lEUDRpZzZ0MFRtMDhEaEt1aV9LckhpNkFNWTlTd28wM1h5YlNSSHAwYVM2YnU0NHdDek96Wk9qY3NXUXp6ek8tdjVSMVplNjIvdXE5bGthMTJlZ2dYbzhjQ3RON1JyXzAyWjdjOThCTjlFN0l3Ql80M3hVbw=="
Costa Rica,,Guanacaste,"10.5795° N, 85.4523° W","Relax on sun-kissed beaches, explore diverse national parks, and enjoy the vibrant culture of Costa Rica's Pacific coast…",250+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL1UxTDZWcEFhNHF5Z01oOW1Nb3IxUFEvNWR2bzFyN0tNb3gzeEtCUUZWM1RPVWpYd1E3WFpJeWt2Ry1IMVJFQURHY1h5emgta0g2bWIyZEJFQ3pvYTJTRWRWMEpXMFhBZkZDRzFKS3FIT05LcS01dmVGV2ZFM2dRd3JiYkZFcjNGUFVUdHVIXzBtNnJiZm9yOC1zcFkxWkgvUU5RczNiRTdYZEhFRTRtcjZYOWJFN3M3RkxXNndvQkQzMl95b0wtSkxRQQ=="
Costa Rica,,Papagayo,"10.5950° N, 85.7003° W","Discover a luxurious tropical paradise, enjoy stunning beaches, and experience exceptional eco-adventures on the Pacific coast…",20+ Havens,Top Destination,"https://stayhvn.com/cdn-cgi/image/fit=scale-down,height=500/https://images.bookingservices.io/aHR0cHM6Ly92NS5haXJ0YWJsZXVzZXJjb250ZW50LmNvbS92MS8xNi8xNi8xNjgzMzI0MDAwMDAwL2U3UVVmUF9maXRVSktUbW9pd1hZclEvT1JBLUsyXzRFLXhzX1U2MzhoZlQ0dVpEcFB6Z0Y0NW1FM1dhYWoxMU5qeGV4emtjQWluRXpySnRYODBhVEUyWDVnSmpuSWlsQ1ZiVnZ0dml5TzdrbDZmM3M4eG5fQU9vNHRVODdiR29mcXNMRV9wTnA0aFBRdmlHY0dpaEJJZVQvY3NUdlJFR2owU3FIcEVzTGY5d1VpN3JKQ1JiT09uNWE3RThEN2UyVE1kYw=="
